Seq1774;ee=0.1;size=55;	Unsorted_L75
Seq1786;ee=0.0059;size=55;	Unsorted_A62
Seq1780;ee=0.013;size=55;	Unsorted_L34
Seq1789;ee=0.013;size=55;	Unsorted_L15
Seq1818;ee=0.021;size=54;	Unsorted_G15
Seq1827;ee=0.013;size=54;	Unsorted_L25
Seq1869;ee=0.018;size=53;	Unsorted_F56
Seq1885;ee=0.0059;size=52;	CTLA-Avidin50_A
Seq1894;ee=0.018;size=52;	Unsorted_J63
Seq1914;ee=0.011;size=51;	Unsorted_P65
Seq1922;ee=0.0062;size=51;	VEGF6_N
Seq1942;ee=0.013;size=50;	VEGF42_N
Seq1940;ee=0.017;size=50;	Unsorted_I17
Seq1948;ee=0.017;size=50;	Unsorted_J42
Seq2001;ee=0.026;size=49;	Unsorted_C73
Seq2024;ee=0.25;size=48;	Unsorted_E67
Seq2042;ee=0.017;size=48;	Unsorted_I61
Seq2043;ee=0.017;size=48;	Unsorted_J48
Seq2078;ee=0.016;size=47;	Native_B1
Seq2094;ee=0.015;size=47;	Unsorted_Q10
Seq2103;ee=0.015;size=47;	Unsorted_E37
Seq2111;ee=0.015;size=46;	Unsorted_E31
Seq2114;ee=0.0059;size=46;	Unsorted_A34
Seq2122;ee=0.086;size=46;	Unsorted_L56
Seq2133;ee=0.013;size=46;	PD1-Avidin35_A
Seq2142;ee=0.016;size=46;	Unsorted_B60
Seq2202;ee=0.0059;size=44;	Unsorted_A39
Seq2192;ee=0.0059;size=45;	Unsorted_A38
Seq2227;ee=0.0059;size=44;	CTLA-Avidin32_A
Seq2265;ee=0.011;size=43;	Unsorted_P5
Seq2279;ee=0.015;size=43;	Unsorted_E56
Seq2332;ee=0.017;size=41;	Unsorted_J41
Seq2341;ee=0.018;size=41;	Unsorted_J10
Seq2363;ee=0.017;size=41;	Unsorted_F40
Seq2375;ee=0.035;size=41;	GFP4_A
Seq2374;ee=0.0067;size=41;	PD1-Avidin41_A
Seq2385;ee=0.0059;size=41;	PD1-Avidin25_A
Seq2388;ee=0.011;size=40;	VEGF34_N
Seq2390;ee=0.017;size=40;	Unsorted_J45
Seq2405;ee=0.017;size=40;	Unsorted_F30
Seq2416;ee=0.01;size=40;	GFP21_A
Seq2481;ee=0.017;size=39;	Unsorted_F5
Seq2517;ee=0.0062;size=38;	Luciferase1_N
Seq2546;ee=0.014;size=38;	Unsorted_E22
Seq2561;ee=0.015;size=37;	Unsorted_Q69
Seq2576;ee=0.0062;size=37;	Unsorted_N40
Seq2585;ee=0.065;size=37;	Unsorted_E34
Seq2659;ee=0.014;size=36;	Unsorted_D48
Seq2675;ee=0.016;size=36;	Unsorted_B59
Seq2689;ee=0.0062;size=35;	Luciferase41_N
Seq2700;ee=0.0062;size=35;	Unsorted_N17
Seq2709;ee=0.0059;size=35;	PD1-Avidin1_A
Seq2723;ee=0.01;size=35;	CTLA-Avidin47_A
Seq2731;ee=0.014;size=35;	Unsorted_D21
Seq2749;ee=0.0059;size=34;	Unsorted_A65
Seq2746;ee=0.011;size=35;	VEGF48_N
Seq2768;ee=0.0062;size=34;	Unsorted_N38
Seq2769;ee=0.013;size=34;	Unsorted_L23
Seq2788;ee=0.015;size=34;	Unsorted_Q23
Seq2792;ee=0.017;size=34;	Unsorted_J33
Seq2798;ee=0.048;size=34;	Unsorted_I40
Seq2845;ee=0.025;size=33;	Unsorted_C13
Seq2879;ee=0.1;size=33;	Unsorted_F71
Seq2888;ee=0.014;size=33;	Unsorted_O36
Seq2894;ee=0.0062;size=33;	PD1-Avidin7_N
Seq2900;ee=0.015;size=32;	Unsorted_E54
Seq2925;ee=0.017;size=32;	PD1-Avidin13_E
Seq2924;ee=0.012;size=32;	Native_N1
Seq2980;ee=0.012;size=31;	Unsorted_P34
Seq2976;ee=0.0062;size=31;	Luciferase44_N
Seq3007;ee=0.0059;size=31;	Unsorted_A67
Seq3006;ee=0.014;size=31;	Unsorted_L10
Seq3030;ee=0.0062;size=31;	VEGF17_N
Seq3072;ee=0.017;size=30;	Unsorted_J34
Seq3097;ee=0.0062;size=30;	Unsorted_N16
Seq3105;ee=0.013;size=30;	Unsorted_L8
Seq3127;ee=0.017;size=29;	Unsorted_F61
Seq3139;ee=0.0085;size=29;	Unsorted_M32
Seq3201;ee=0.022;size=29;	Unsorted_C16
Seq3209;ee=0.011;size=28;	VEGF30_N
Seq3216;ee=0.0059;size=28;	Unsorted_A21
Seq3238;ee=0.017;size=28;	Unsorted_B13
Seq3261;ee=0.014;size=28;	Unsorted_L50
Seq3283;ee=0.014;size=28;	CTLA-Tris-Carb13_O
Seq3282;ee=0.012;size=28;	Unsorted_P60
Seq3302;ee=0.013;size=27;	Unsorted_L52
Seq3303;ee=0.0062;size=27;	VEGF4_N
Seq3328;ee=0.086;size=27;	Unsorted_I52
Seq3356;ee=0.012;size=27;	Unsorted_P14
Seq3380;ee=0.33;size=27;	Native_J1
Seq3391;ee=0.017;size=26;	Unsorted_I8
Seq3432;ee=0.01;size=26;	PD1-Avidin30_N
Seq3435;ee=0.015;size=26;	Unsorted_E27
Seq3470;ee=0.018;size=26;	Unsorted_L7
Seq3506;ee=0.0059;size=25;	GFP46_A
Seq3495;ee=0.014;size=25;	PE34_O
Seq3537;ee=0.0059;size=25;	Unsorted_A35
Seq3611;ee=0.0059;size=24;	Unsorted_A40
Seq3631;ee=0.02;size=24;	Unsorted_I31
Seq3697;ee=0.0059;size=23;	GFP13_A
Seq3701;ee=0.0059;size=23;	Unsorted_A26
Seq3729;ee=0.0059;size=23;	Unsorted_A61
Seq3770;ee=0.014;size=22;	PE26_O
Seq3764;ee=0.02;size=22;	Unsorted_G44
Seq3785;ee=0.018;size=22;	Unsorted_F48
Seq3793;ee=0.017;size=22;	Unsorted_I46
Seq3795;ee=0.0062;size=22;	Unsorted_N31
Seq3799;ee=0.037;size=22;	PD1-Avidin5_N
Seq3819;ee=0.014;size=22;	Unsorted_O6
Seq3856;ee=0.0067;size=22;	Unsorted_A4
Seq3869;ee=0.077;size=21;	Unsorted_D42
Seq3872;ee=0.21;size=21;	Unsorted_E1
Seq3938;ee=0.017;size=21;	Unsorted_F18
Seq3941;ee=0.015;size=21;	Unsorted_Q62
Seq3935;ee=0.0062;size=21;	CTLA-Avidin33_N
Seq3954;ee=0.022;size=21;	Unsorted_F17
Seq3983;ee=0.017;size=21;	Unsorted_J65
Seq3996;ee=0.017;size=21;	Unsorted_J9
Seq4007;ee=0.019;size=20;	Unsorted_J43
Seq4068;ee=0.014;size=20;	Unsorted_D12
Seq4103;ee=0.0062;size=20;	Unsorted_N63
Seq4115;ee=0.018;size=20;	Unsorted_K7
Seq4157;ee=0.051;size=19;	Unsorted_E15
Seq4218;ee=0.018;size=19;	Unsorted_F4
Seq4249;ee=0.0059;size=19;	GFP38_A
Seq4278;ee=0.018;size=18;	Unsorted_I72
Seq4329;ee=0.013;size=18;	Unsorted_L29
Seq4332;ee=0.0062;size=18;	Unsorted_N41
Seq4351;ee=0.0059;size=18;	GFP19_A
Seq4378;ee=0.015;size=18;	Unsorted_Q5
Seq4394;ee=0.015;size=17;	Unsorted_Q73
Seq4436;ee=0.0062;size=17;	PD1-Avidin27_N
Seq4456;ee=0.08;size=17;	Unsorted_P69
Seq4457;ee=0.017;size=17;	Unsorted_J51
Seq4469;ee=0.0059;size=17;	Unsorted_A58
Seq4489;ee=0.012;size=17;	Unsorted_P68
Seq4498;ee=0.014;size=17;	PE40_O
Seq4521;ee=0.015;size=17;	Unsorted_E52
Seq4549;ee=0.013;size=16;	Luciferase21_N
Seq4557;ee=0.0059;size=16;	CTLA-Avidin14_A
Seq4657;ee=0.006;size=16;	Unsorted_A42
Seq4667;ee=0.079;size=16;	Unsorted_D7
Seq4696;ee=0.017;size=15;	Unsorted_B40
Seq4710;ee=0.014;size=15;	Unsorted_E68
Seq4724;ee=0.015;size=15;	Unsorted_Q51
Seq4735;ee=0.015;size=15;	Unsorted_E50
Seq4762;ee=0.017;size=15;	Unsorted_J35
Seq4793;ee=0.0059;size=15;	Unsorted_A7
Seq4862;ee=0.0059;size=15;	Unsorted_A68
Seq4877;ee=0.017;size=14;	Unsorted_B4
Seq4886;ee=0.012;size=14;	Unsorted_P54
Seq4881;ee=0.018;size=14;	Unsorted_I70
Seq4885;ee=0.0062;size=14;	Unsorted_N50
Seq4889;ee=0.042;size=14;	Unsorted_F2
Seq4909;ee=0.016;size=14;	Unsorted_L19
Seq4924;ee=0.014;size=14;	Unsorted_D17
Seq4962;ee=0.011;size=14;	Unsorted_H2
Seq4979;ee=0.0062;size=14;	Unsorted_N6
Seq4987;ee=0.018;size=14;	Unsorted_F57
Seq5017;ee=0.018;size=14;	Unsorted_B17
Seq5018;ee=0.18;size=14;	Unsorted_P74
Seq5086;ee=0.015;size=13;	Unsorted_L53
Seq5163;ee=0.0059;size=13;	Unsorted_A8
Seq5254;ee=0.12;size=12;	VEGF16_N
Seq5256;ee=0.014;size=12;	Unsorted_D10
Seq5285;ee=0.022;size=12;	Unsorted_C43
Seq5298;ee=0.0062;size=12;	Luciferase4_N
Seq5310;ee=0.017;size=12;	Unsorted_F28
Seq5313;ee=0.021;size=12;	Unsorted_J5
Seq5320;ee=0.0062;size=12;	VEGF33_N
Seq5334;ee=0.017;size=12;	Unsorted_B69
Seq5340;ee=0.04;size=12;	Unsorted_L18
Seq5356;ee=0.018;size=12;	Unsorted_J50
Seq5364;ee=0.058;size=12;	Unsorted_I60
Seq5389;ee=0.019;size=12;	Unsorted_B47
Seq5385;ee=0.012;size=12;	Unsorted_P56
Seq5408;ee=0.0059;size=12;	Unsorted_A19
Seq5427;ee=0.007;size=12;	Unsorted_N73
Seq5498;ee=0.017;size=11;	Unsorted_F1
Seq5512;ee=0.077;size=11;	Unsorted_L24
Seq5518;ee=0.017;size=11;	Unsorted_J32
Seq5528;ee=0.012;size=11;	Unsorted_M16
Seq5538;ee=0.016;size=11;	Native_D1
Seq5550;ee=0.011;size=11;	VEGF26_N
Seq5551;ee=0.015;size=11;	Unsorted_Q52
Seq5592;ee=0.0062;size=11;	Luciferase34_N
Seq5647;ee=0.015;size=11;	Unsorted_E11
Seq5677;ee=0.057;size=10;	Unsorted_Q66
Seq5674;ee=0.0062;size=10;	PE29_N
Seq5723;ee=0.0062;size=10;	VEGF18_N
Seq5730;ee=0.0059;size=10;	Unsorted_A22
Seq5745;ee=0.017;size=10;	Unsorted_J40
Seq5771;ee=0.017;size=10;	Unsorted_B45
Seq5789;ee=0.018;size=10;	Unsorted_K20
Seq5815;ee=0.014;size=10;	Unsorted_O19
Seq5833;ee=0.054;size=10;	Unsorted_L57
Seq5852;ee=0.02;size=10;	Unsorted_G30
Seq5865;ee=0.015;size=10;	Unsorted_Q25
Seq5895;ee=0.016;size=10;	Unsorted_E44
Seq5992;ee=0.015;size=9;	Native_E1
Seq5994;ee=0.05;size=9;	Unsorted_F64
Seq6007;ee=0.014;size=9;	Unsorted_D31
Seq6117;ee=0.015;size=9;	Unsorted_Q41
Seq6130;ee=0.2;size=9;	Unsorted_F65
Seq6127;ee=0.011;size=9;	Unsorted_H22
Seq6152;ee=0.089;size=9;	Unsorted_E57
Seq6163;ee=0.0062;size=9;	Unsorted_N55
Seq6172;ee=0.0059;size=9;	Unsorted_A54
Seq6195;ee=0.012;size=9;	Unsorted_P35
Seq6197;ee=0.0062;size=9;	Unsorted_N62
Seq6246;ee=0.0062;size=8;	Unsorted_N74
Seq6280;ee=0.051;size=8;	Unsorted_P4
Seq6367;ee=0.025;size=8;	Unsorted_G68
Seq6380;ee=0.013;size=8;	Unsorted_L67
Seq6382;ee=0.015;size=8;	Unsorted_Q70
Seq6405;ee=0.015;size=8;	Unsorted_Q29
Seq6454;ee=0.0062;size=8;	Luciferase8_N
Seq6469;ee=0.017;size=8;	Unsorted_J13
Seq6513;ee=0.0059;size=8;	Unsorted_A63
Seq6530;ee=0.019;size=8;	Unsorted_I73
Seq6533;ee=0.021;size=8;	Unsorted_G75
Seq6582;ee=0.011;size=7;	Unsorted_H29
Seq6609;ee=0.017;size=7;	Unsorted_B63
Seq6637;ee=0.018;size=7;	Unsorted_I7
Seq6695;ee=0.015;size=7;	Unsorted_Q4
Seq6729;ee=0.012;size=7;	Unsorted_P57
Seq6741;ee=0.077;size=7;	Unsorted_J69
Seq6742;ee=0.0062;size=7;	VEGF25_N
Seq6765;ee=0.0062;size=7;	Unsorted_N37
Seq6797;ee=0.12;size=7;	Unsorted_I47
Seq6803;ee=0.017;size=7;	Unsorted_J28
Seq6836;ee=0.017;size=7;	Unsorted_J31
Seq6860;ee=0.0062;size=7;	Unsorted_N42
Seq6894;ee=0.014;size=7;	Unsorted_L35
Seq6904;ee=0.21;size=7;	Unsorted_I67
Seq6915;ee=0.0062;size=7;	Luciferase16_N
Seq6924;ee=0.016;size=7;	Unsorted_B71
Seq6930;ee=0.018;size=7;	Unsorted_I12
Seq6928;ee=0.011;size=7;	Unsorted_H51
Seq6929;ee=0.018;size=7;	Unsorted_J8
Seq6937;ee=0.0059;size=7;	Unsorted_A20
Seq6940;ee=0.012;size=7;	Unsorted_P39
Seq6957;ee=0.017;size=6;	Unsorted_B35
