Seq624;ee=0.0059;size=44;	GFP28_A
Seq625;ee=0.069;size=44;	Unsorted_P13
Seq629;ee=0.0059;size=44;	Unsorted_A13
Seq630;ee=0.0062;size=44;	VEGF21_N
Seq638;ee=0.0059;size=43;	Unsorted_A20
Seq650;ee=0.0062;size=42;	Unsorted_N59
Seq679;ee=0.0059;size=40;	PE7_A
Seq678;ee=0.0059;size=41;	CTLA-Avidin12_A
Seq685;ee=0.017;size=40;	Unsorted_J30
Seq684;ee=0.017;size=40;	Unsorted_L6
Seq693;ee=0.021;size=40;	Unsorted_G15
Seq694;ee=0.038;size=40;	Unsorted_P50
Seq700;ee=0.013;size=40;	Unsorted_L43
Seq719;ee=0.014;size=39;	Unsorted_L32
Seq715;ee=0.042;size=39;	Unsorted_Q51
Seq728;ee=0.014;size=38;	Unsorted_L22
Seq731;ee=0.012;size=38;	Unsorted_P21
Seq754;ee=0.013;size=37;	Unsorted_L33
Seq757;ee=0.012;size=37;	Unsorted_P17
Seq763;ee=0.012;size=37;	VEGF42_N
Seq769;ee=0.018;size=37;	Unsorted_F10
Seq780;ee=0.012;size=36;	Unsorted_P45
Seq783;ee=0.015;size=36;	Unsorted_H22
Seq786;ee=0.24;size=36;	Unsorted_G30
Seq804;ee=0.0059;size=35;	Unsorted_A25
Seq810;ee=0.0059;size=35;	Unsorted_A71
Seq851;ee=0.011;size=33;	Unsorted_P1
Seq861;ee=0.014;size=33;	Unsorted_D2
Seq856;ee=0.015;size=33;	PE27_O
Seq865;ee=0.0059;size=33;	Unsorted_A72
Seq889;ee=0.012;size=32;	Native_H1
Seq893;ee=0.013;size=32;	Unsorted_L58
Seq910;ee=0.014;size=32;	Unsorted_D17
Seq914;ee=0.013;size=32;	Unsorted_L4
Seq913;ee=0.014;size=32;	Unsorted_D7
Seq926;ee=0.12;size=31;	PE37_O
Seq939;ee=0.014;size=31;	Unsorted_L10
Seq938;ee=0.014;size=31;	Unsorted_D5
Seq943;ee=0.011;size=31;	Unsorted_H67
Seq945;ee=0.014;size=31;	Unsorted_L23
Seq949;ee=0.019;size=30;	Unsorted_K17
Seq1014;ee=0.0062;size=29;	Unsorted_N31
Seq1033;ee=0.22;size=28;	Unsorted_L45
Seq1030;ee=0.014;size=28;	PE45_O
Seq1041;ee=0.017;size=28;	Unsorted_J73
Seq1060;ee=0.0062;size=28;	Unsorted_N15
Seq1076;ee=0.015;size=27;	Unsorted_E48
Seq1090;ee=0.0059;size=27;	PD1-Avidin44_A
Seq1097;ee=0.011;size=27;	Unsorted_H63
Seq1136;ee=0.016;size=26;	Unsorted_B13
Seq1139;ee=0.0059;size=26;	GFP9_A
Seq1140;ee=0.011;size=26;	Unsorted_H68
Seq1145;ee=0.014;size=26;	Unsorted_D69
Seq1158;ee=0.0062;size=25;	VEGF34_N
Seq1172;ee=0.012;size=25;	Unsorted_P9
Seq1194;ee=0.0059;size=25;	Native_A1
Seq1199;ee=0.0059;size=25;	Unsorted_A29
Seq1236;ee=0.0062;size=24;	Unsorted_N16
Seq1233;ee=0.013;size=24;	Unsorted_L18
Seq1238;ee=0.017;size=24;	Unsorted_B61
Seq1232;ee=0.0062;size=24;	CTLA-Avidin9_N
Seq1252;ee=0.0062;size=24;	PE9_N
Seq1259;ee=0.0089;size=24;	Unsorted_M75
Seq1244;ee=0.01;size=24;	GFP18_A
Seq1268;ee=0.0087;size=24;	Unsorted_M65
Seq1270;ee=0.016;size=24;	Unsorted_B59
Seq1281;ee=0.012;size=23;	Unsorted_P16
Seq1304;ee=0.0059;size=23;	Unsorted_A59
