Seq1877;ee=0.017;size=63;	Unsorted_I22
Seq1882;ee=0.013;size=62;	Unsorted_L18
Seq1904;ee=0.017;size=62;	Unsorted_J49
Seq1919;ee=0.0059;size=61;	Unsorted_A31
Seq1930;ee=0.0059;size=61;	Unsorted_A32
Seq1947;ee=0.0059;size=60;	PD1-Avidin29_A
Seq1948;ee=0.015;size=60;	Unsorted_E64
Seq1944;ee=0.013;size=60;	Unsorted_L57
Seq1983;ee=0.0062;size=58;	Unsorted_N29
Seq1981;ee=0.0059;size=59;	PD1-Avidin2_A
Seq1982;ee=0.0059;size=58;	PE3_A
Seq1999;ee=0.0059;size=58;	Unsorted_A52
Seq2004;ee=0.015;size=58;	Unsorted_Q25
Seq2038;ee=0.0062;size=57;	Unsorted_N27
Seq2048;ee=0.017;size=57;	Unsorted_I13
Seq2061;ee=0.017;size=56;	Unsorted_F14
Seq2062;ee=0.018;size=56;	Unsorted_I49
Seq2073;ee=0.013;size=55;	Unsorted_L28
Seq2096;ee=0.0059;size=55;	GFP42_A
Seq2130;ee=0.0059;size=54;	Unsorted_A43
Seq2155;ee=0.017;size=53;	Unsorted_I73
Seq2200;ee=0.018;size=52;	Unsorted_F7
Seq2203;ee=0.0062;size=52;	Unsorted_N36
Seq2208;ee=0.013;size=51;	Unsorted_L16
Seq2215;ee=0.018;size=51;	Unsorted_I60
Seq2231;ee=0.014;size=51;	Unsorted_L24
Seq2246;ee=0.0059;size=50;	Unsorted_A29
Seq2247;ee=0.0062;size=50;	Luciferase43_N
Seq2248;ee=0.015;size=50;	Unsorted_Q27
Seq2261;ee=0.014;size=50;	Unsorted_D48
Seq2283;ee=0.015;size=49;	Unsorted_Q59
Seq2330;ee=0.017;size=48;	Unsorted_F5
Seq2370;ee=0.015;size=47;	Unsorted_E50
Seq2436;ee=0.086;size=45;	Unsorted_A63
Seq2433;ee=0.015;size=45;	Unsorted_Q66
Seq2443;ee=0.013;size=45;	Unsorted_L38
Seq2452;ee=0.015;size=45;	Unsorted_E11
Seq2469;ee=0.0059;size=45;	Unsorted_A8
Seq2478;ee=0.0059;size=44;	PE25_A
Seq2500;ee=0.0059;size=44;	CTLA-Avidin47_A
Seq2519;ee=0.23;size=44;	Unsorted_F21
Seq2541;ee=0.02;size=43;	Unsorted_F44
Seq2545;ee=0.0059;size=43;	PE38_A
Seq2582;ee=0.017;size=43;	Unsorted_J23
Seq2606;ee=0.017;size=42;	Unsorted_F58
Seq2696;ee=0.017;size=41;	Unsorted_I56
Seq2746;ee=0.0059;size=40;	GFP47_A
Seq2745;ee=0.0062;size=40;	VEGF21_N
Seq2800;ee=0.015;size=39;	Unsorted_Q52
Seq2818;ee=0.017;size=38;	Unsorted_K47
Seq2806;ee=0.016;size=38;	VEGF8_E
Seq2824;ee=0.018;size=38;	Unsorted_F17
Seq2827;ee=0.0059;size=38;	Unsorted_A68
Seq2841;ee=0.0059;size=38;	PD1-Avidin12_A
Seq2860;ee=0.0062;size=37;	PE9_N
Seq2875;ee=0.015;size=37;	Unsorted_Q30
Seq2914;ee=0.015;size=37;	Unsorted_E67
Seq2912;ee=0.066;size=37;	Unsorted_C55
Seq2944;ee=0.018;size=36;	Unsorted_F50
Seq2956;ee=0.017;size=36;	Unsorted_I24
Seq2957;ee=0.038;size=36;	Unsorted_P5
Seq2976;ee=0.014;size=36;	Unsorted_N73
Seq3003;ee=0.014;size=35;	Unsorted_D12
Seq3016;ee=0.017;size=35;	Unsorted_I15
Seq3029;ee=0.017;size=35;	Unsorted_F53
Seq3058;ee=0.017;size=34;	Unsorted_I41
Seq3069;ee=0.0062;size=34;	Unsorted_N40
Seq3079;ee=0.0059;size=34;	Unsorted_A42
Seq3156;ee=0.013;size=33;	Unsorted_L50
Seq3189;ee=0.026;size=32;	Unsorted_C48
Seq3272;ee=0.0061;size=31;	Unsorted_A58
Seq3281;ee=0.0062;size=31;	Unsorted_N43
Seq3292;ee=0.0059;size=31;	PE36_A
Seq3324;ee=0.017;size=30;	Unsorted_I46
Seq3392;ee=0.0059;size=29;	CTLA-Avidin46_A
Seq3421;ee=0.0059;size=29;	GFP40_A
Seq3450;ee=0.016;size=29;	Unsorted_E52
Seq3454;ee=0.0059;size=29;	GFP33_A
Seq3499;ee=0.018;size=28;	Unsorted_I33
Seq3513;ee=0.0062;size=28;	Luciferase5_N
Seq3519;ee=0.017;size=28;	Unsorted_F22
Seq3526;ee=0.017;size=28;	Unsorted_E24
Seq3571;ee=0.22;size=27;	Unsorted_F70
Seq3600;ee=0.018;size=27;	Unsorted_J7
Seq3672;ee=0.0059;size=26;	Luciferase50_A
Seq3689;ee=0.017;size=26;	Unsorted_F62
Seq3690;ee=0.013;size=26;	Unsorted_L1
Seq3708;ee=0.0059;size=26;	GFP18_A
Seq3790;ee=0.013;size=25;	Unsorted_L68
Seq3816;ee=0.014;size=24;	Unsorted_D74
Seq3814;ee=0.14;size=24;	Unsorted_Q6
Seq3860;ee=0.0062;size=24;	CTLA-Avidin20_N
Seq3882;ee=0.0062;size=24;	Unsorted_N59
Seq3895;ee=0.014;size=24;	Unsorted_L8
Seq3912;ee=0.0059;size=23;	Unsorted_A35
Seq3938;ee=0.015;size=23;	Unsorted_E36
Seq3934;ee=0.018;size=23;	Unsorted_L25
Seq3989;ee=0.013;size=23;	Unsorted_L61
Seq4012;ee=0.0062;size=23;	Unsorted_N54
Seq4021;ee=0.0059;size=23;	PD1-Avidin4_A
Seq4042;ee=0.017;size=22;	Unsorted_F69
Seq4066;ee=0.015;size=22;	Unsorted_Q75
Seq4071;ee=0.022;size=22;	Unsorted_C9
Seq4082;ee=0.0059;size=22;	PD1-Avidin8_A
Seq4090;ee=0.0062;size=22;	Luciferase38_N
Seq4108;ee=0.017;size=22;	Unsorted_F71
Seq4111;ee=0.015;size=22;	Unsorted_E47
Seq4120;ee=0.025;size=22;	Unsorted_C13
Seq4129;ee=0.015;size=22;	Unsorted_E4
Seq4142;ee=0.0059;size=22;	Unsorted_A5
