Seq1342;ee=0.017;size=154;	Unsorted_I13
Seq1349;ee=0.017;size=154;	Unsorted_F13
Seq1361;ee=0.011;size=153;	Unsorted_H2
Seq1371;ee=0.0059;size=152;	CTLA-Avidin38_A
Seq1373;ee=0.013;size=152;	Unsorted_L14
Seq1400;ee=0.017;size=148;	Unsorted_I73
Seq1412;ee=0.0062;size=147;	Luciferase5_N
Seq1407;ee=0.0059;size=148;	PE38_A
Seq1449;ee=0.0059;size=143;	PD1-Avidin2_A
Seq1429;ee=0.0059;size=145;	Unsorted_A38
Seq1472;ee=0.0059;size=141;	PE7_A
Seq1479;ee=0.019;size=140;	Unsorted_F34
Seq1482;ee=0.017;size=140;	Unsorted_E49
Seq1492;ee=0.0059;size=139;	PD1-Avidin29_A
Seq1489;ee=0.017;size=139;	Unsorted_J49
Seq1503;ee=0.0059;size=137;	Unsorted_A63
Seq1520;ee=0.017;size=135;	Unsorted_I24
Seq1536;ee=0.0062;size=133;	Unsorted_N62
Seq1538;ee=0.017;size=133;	Unsorted_I16
Seq1537;ee=0.085;size=133;	Unsorted_C14
Seq1587;ee=0.018;size=129;	Unsorted_L10
Seq1605;ee=0.013;size=127;	Unsorted_L18
Seq1627;ee=0.0062;size=126;	Unsorted_N36
Seq1640;ee=0.022;size=124;	Unsorted_C64
Seq1686;ee=0.017;size=121;	Unsorted_F8
Seq1696;ee=0.0059;size=120;	Unsorted_A68
Seq1725;ee=0.0062;size=118;	CTLA-Avidin20_N
Seq1724;ee=0.0059;size=118;	Unsorted_A45
Seq1746;ee=0.0059;size=117;	Unsorted_A29
Seq1748;ee=0.08;size=117;	Unsorted_L38
Seq1760;ee=0.015;size=116;	Unsorted_E50
Seq1763;ee=0.013;size=116;	Unsorted_L42
Seq1766;ee=0.014;size=116;	Unsorted_Q66
Seq1801;ee=0.017;size=113;	Unsorted_F7
Seq1814;ee=0.0093;size=112;	PE3_A
Seq1847;ee=0.018;size=110;	Unsorted_K47
Seq1843;ee=0.013;size=111;	Unsorted_L15
Seq1877;ee=0.0059;size=109;	Unsorted_A69
Seq1878;ee=0.018;size=109;	Unsorted_F46
Seq1885;ee=0.0062;size=108;	PE9_N
Seq1908;ee=0.013;size=107;	Unsorted_L34
Seq1933;ee=0.013;size=105;	Unsorted_L48
Seq1951;ee=0.016;size=104;	Unsorted_Q6
Seq2010;ee=0.015;size=101;	Unsorted_Q75
Seq2040;ee=0.014;size=100;	Unsorted_L24
Seq2032;ee=0.0062;size=100;	Unsorted_N40
Seq2043;ee=0.2;size=100;	Unsorted_I67
Seq2050;ee=0.55;size=99;	Unsorted_I35
Seq2052;ee=0.015;size=99;	Unsorted_E34
Seq2072;ee=0.0059;size=98;	Unsorted_A43
Seq2080;ee=0.0059;size=98;	Unsorted_A8
Seq2075;ee=0.017;size=98;	Unsorted_J23
Seq2078;ee=0.017;size=98;	Unsorted_F69
Seq2087;ee=0.012;size=97;	Unsorted_P54
Seq2095;ee=0.0059;size=97;	PD1-Avidin12_A
Seq2107;ee=0.017;size=96;	Unsorted_I50
Seq2105;ee=0.0062;size=96;	Unsorted_N54
Seq2133;ee=0.0062;size=95;	GFP47_A
Seq2141;ee=0.0059;size=94;	Unsorted_A42
Seq2149;ee=0.021;size=94;	CTLA-Tris-Carb35_K
Seq2159;ee=0.017;size=94;	Unsorted_J67
Seq2195;ee=0.019;size=92;	VEGF8_E
Seq2206;ee=0.016;size=91;	Native_B1
Seq2244;ee=0.014;size=90;	Unsorted_L16
Seq2257;ee=0.0062;size=89;	VEGF21_N
Seq2268;ee=0.015;size=89;	Unsorted_E20
Seq2269;ee=0.013;size=89;	Unsorted_L5
Seq2271;ee=0.0059;size=88;	Unsorted_A9
Seq2289;ee=0.014;size=88;	Unsorted_E56
Seq2297;ee=0.021;size=87;	Unsorted_I6
Seq2303;ee=0.013;size=87;	Unsorted_L57
Seq2310;ee=0.015;size=87;	Unsorted_E67
Seq2349;ee=0.013;size=86;	Unsorted_L75
Seq2467;ee=0.017;size=81;	Unsorted_I22
Seq2473;ee=0.018;size=81;	Unsorted_F70
Seq2500;ee=0.059;size=80;	Unsorted_L61
Seq2527;ee=0.017;size=79;	Unsorted_F18
Seq2559;ee=0.013;size=78;	Unsorted_L19
Seq2598;ee=0.018;size=76;	Unsorted_K14
Seq2637;ee=0.011;size=75;	Unsorted_P9
Seq2665;ee=0.023;size=74;	Unsorted_C55
Seq2663;ee=0.015;size=75;	Unsorted_Q59
Seq2681;ee=0.015;size=74;	Unsorted_E11
Seq2678;ee=0.019;size=74;	Unsorted_I8
Seq2685;ee=0.017;size=74;	Unsorted_J64
Seq2693;ee=0.0059;size=73;	Unsorted_A35
Seq2695;ee=0.011;size=73;	Unsorted_P68
Seq2712;ee=0.063;size=73;	Unsorted_I49
Seq2726;ee=0.018;size=72;	Unsorted_K19
Seq2740;ee=0.023;size=72;	Unsorted_C74
Seq2750;ee=0.019;size=72;	Unsorted_Q29
Seq2766;ee=0.0059;size=71;	Unsorted_A66
Seq2765;ee=0.016;size=71;	Unsorted_D12
Seq2775;ee=0.17;size=71;	GFP18_A
Seq2806;ee=0.019;size=69;	Unsorted_L68
Seq2817;ee=0.02;size=69;	Unsorted_J7
Seq2835;ee=0.014;size=68;	Unsorted_L50
Seq2856;ee=0.0059;size=67;	CTLA-Tris-Carb50_A
Seq2889;ee=0.0059;size=66;	Unsorted_A40
