Seq3916;ee=0.013;size=1;	Unsorted_L19
Seq3946;ee=0.021;size=1;	Unsorted_E6
Seq3978;ee=0.0062;size=1;	Unsorted_N41
Seq4045;ee=0.0062;size=1;	VEGF43_N
Seq4073;ee=0.015;size=1;	Unsorted_H53
Seq4125;ee=0.023;size=1;	Unsorted_F68
Seq4166;ee=0.048;size=1;	Unsorted_F17
Seq4210;ee=0.036;size=1;	GFP16_A
Seq4265;ee=0.016;size=1;	Unsorted_Q4
Seq4290;ee=0.018;size=1;	Unsorted_O66
Seq4333;ee=0.014;size=1;	Unsorted_O6
Seq4330;ee=0.017;size=1;	Unsorted_J41
Seq4348;ee=0.017;size=1;	Unsorted_F25
Seq4482;ee=0.017;size=1;	Unsorted_I59
Seq4540;ee=0.023;size=1;	Unsorted_C39
Seq4658;ee=0.014;size=1;	Unsorted_O27
Seq4801;ee=0.017;size=1;	Unsorted_I43
Seq4853;ee=0.015;size=1;	Unsorted_Q6
Seq4907;ee=0.0062;size=1;	PE9_N
Seq4925;ee=0.015;size=1;	Unsorted_Q52
Seq4938;ee=0.012;size=1;	Unsorted_P74
Seq4960;ee=0.0059;size=1;	CTLA-Avidin43_A
Seq5005;ee=0.0062;size=1;	Unsorted_N61
Seq5017;ee=0.084;size=1;	Unsorted_I70
Seq5042;ee=0.0059;size=1;	GFP1_A
Seq5087;ee=0.011;size=1;	Unsorted_H32
Seq5283;ee=0.017;size=1;	Unsorted_I52
Seq5304;ee=0.0073;size=1;	Unsorted_A15
Seq5309;ee=0.016;size=1;	Unsorted_B63
Seq5301;ee=0.011;size=1;	Unsorted_H75
Seq5325;ee=0.02;size=1;	Unsorted_G68
Seq5350;ee=0.017;size=1;	Unsorted_F18
Seq5440;ee=0.016;size=1;	Unsorted_D74
Seq5436;ee=0.0059;size=1;	Unsorted_A71
Seq5442;ee=0.017;size=1;	Unsorted_J44
Seq5471;ee=0.015;size=1;	Unsorted_E33
Seq5477;ee=0.016;size=1;	Unsorted_B62
Seq5491;ee=0.0062;size=1;	Unsorted_N9
Seq5533;ee=0.015;size=1;	Unsorted_Q34
Seq5560;ee=0.015;size=1;	PE1_O
Seq5579;ee=0.013;size=1;	Unsorted_L8
Seq5619;ee=0.15;size=1;	Unsorted_I22
Seq5632;ee=0.0059;size=1;	Unsorted_A1
Seq5684;ee=0.014;size=1;	PE40_O
Seq5782;ee=0.015;size=1;	Unsorted_E39
Seq5819;ee=0.014;size=1;	Unsorted_D15
Seq5838;ee=0.014;size=1;	Unsorted_O53
Seq5862;ee=0.018;size=1;	Unsorted_I49
Seq5933;ee=0.022;size=1;	Unsorted_G40
Seq5949;ee=0.42;size=1;	Unsorted_A28
Seq6009;ee=0.0059;size=1;	Unsorted_A29
Seq6013;ee=0.015;size=1;	Unsorted_E67
Seq6087;ee=0.013;size=1;	Unsorted_L10
Seq6103;ee=0.015;size=1;	Unsorted_E69
Seq6126;ee=0.012;size=1;	Unsorted_P68
Seq6164;ee=0.017;size=1;	Unsorted_I38
Seq6193;ee=0.015;size=1;	Unsorted_Q27
Seq6207;ee=0.0062;size=1;	CTLA-Avidin9_N
Seq6250;ee=0.0062;size=1;	PE29_N
Seq6295;ee=0.0059;size=1;	Unsorted_A67
